artists;acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;popularity;key;mode;count;;;;;;;;
1927;0.00224;0.565;253227;0.777;0.0555;0.213;-3.233;0.0335;123.102;0.395;51;7;1;2;;;;;;;;
1986 Omega Tribe;0.319855556;0.68;274628;0.612111111;0.028257169;0.169333333;-13.46788889;0.031933333;121.7952222;0.834888889;37.88888889;9;0;18;;;;;;;;
1Touch;0.000571;0.74;344067;0.591;0.263;0.0946;-7.898;0.0548;128.019;0.381;0;5;1;2;;;;;;;;
2 Brothers On The 4th Floor;0.00328;0.701;263163;0.979;0.308;0.416;-4.861;0.048;134.013;0.612;62;7;0;2;;;;;;;;
2 Chainz;0.096840323;0.776790323;251314.7742;0.625854839;0.00019328;0.184740323;-6.142129032;0.231885484;125.7129516;0.47893871;61.43548387;1;1;62;;;;;;;;
2 Crows;0.00147;0.588;183554;0.788;2.09E-05;0.378;-5.582;0.0341;96.007;0.382;0;7;1;2;;;;;;;;
2 Guys n the Parque;0.0717;0.814;93600;0.879;0;0.0401;-5.416;0.12;120.113;0.962;46;11;0;2;;;;;;;;
2 Hyped Brothers & A Dog;0.0768;0.905;338533;0.383;3.20E-05;0.113;-13.631;0.281;126.075;0.61;29;9;0;2;;;;;;;;
2 In A Room;0.0718;0.781;244133;0.838;5.42E-06;0.0381;-13.943;0.0494;122.819;0.849;28;2;1;2;;;;;;;;
2 LIVE CREW;0.056752091;0.878727273;242195.7273;0.676;0.012531776;0.378236364;-11.48190909;0.196472727;126.9012273;0.604590909;34.81818182;7;1;44;;;;;;;;
2 Pistols;0.00436;0.53;274053;0.745;0;0.345;-6.19;0.106;134.068;0.269;51;10;0;1;;;;;;;;
2 Unlimited;0.03058;0.6985;228208;0.92225;0.006455925;0.08355;-11.51875;0.059275;130.971;0.764;55;5;1;8;;;;;;;;
2* Sweet;0.0348;0.788;1428097;0.687;2.03E-05;0.148;-13.304;0.152;102.345;0.897;44;1;1;2;;;;;;;;
2.99 RECORDS;0.615333333;0.653833333;162211;0.324333333;0.877;0.120366667;-18.4905;0.081616667;112.9173333;0.259316667;0;0;1;12;;;;;;;;
20 Fingers;0.002187667;0.879333333;235719.6667;0.791666667;0.2565;0.0876;-9.099;0.062033333;127.0146667;0.821666667;55.33333333;11;0;3;;;;;;;;
20-2-Life;0.0443;0.851;403467;0.451;0.297;0.127;-10.707;0.267;117.847;0.25;32;11;1;2;;;;;;;;
20/20;0.000236;0.458;257733;0.541;0.00183;0.0371;-12.131;0.0485;133.573;0.577;23;2;1;2;;;;;;;;
2000;0.00103;0.447;206500;0.555;0;0.0744;-9.141;0.033;86.068;0.33;0;0;1;2;;;;;;;;
